Date,Year,snow,Month,na_count
1/1/2013,2013,1.5,JAN,0
2/1/2013,2013,12.2,FEB,0
3/1/2013,2013,7.3,MAR,0
4/1/2013,2013,0,APR,0
5/1/2013,2013,0,MAY,0
6/1/2013,2013,0,JUN,0
7/1/2013,2013,0,JUL,0
8/1/2013,2013,0,AUG,0
9/1/2013,2013,0,SEP,0
10/1/2013,2013,0,OCT,0
11/1/2013,2013,,NOV,1
12/1/2013,2013,8.6,DEC,0
1/1/2014,2014,19.7,JAN,0
2/1/2014,2014,29,FEB,0
3/1/2014,2014,0.1,MAR,0
4/1/2014,2014,,APR,1
5/1/2014,2014,0,MAY,0
6/1/2014,2014,0,JUN,0
7/1/2014,2014,0,JUL,0
8/1/2014,2014,0,AUG,0
9/1/2014,2014,0,SEP,0
10/1/2014,2014,0,OCT,0
11/1/2014,2014,0.2,NOV,0
12/1/2014,2014,1,DEC,0
1/1/2015,2015,16.9,JAN,0
2/1/2015,2015,13.6,FEB,0
3/1/2015,2015,18.6,MAR,0
4/1/2015,2015,0,APR,0
5/1/2015,2015,0,MAY,0
6/1/2015,2015,0,JUN,0
7/1/2015,2015,0,JUL,0
8/1/2015,2015,0,AUG,0
9/1/2015,2015,0,SEP,0
10/1/2015,2015,0,OCT,0
11/1/2015,2015,0,NOV,0
12/1/2015,2015,,DEC,1
1/1/2016,2016,27.9,JAN,0
2/1/2016,2016,4,FEB,0
3/1/2016,2016,0.9,MAR,0
4/1/2016,2016,,APR,1
5/1/2016,2016,0,MAY,0
6/1/2016,2016,0,JUN,0
7/1/2016,2016,0,JUL,0
8/1/2016,2016,0,AUG,0
9/1/2016,2016,0,SEP,0
10/1/2016,2016,0,OCT,0
11/1/2016,2016,,NOV,1
12/1/2016,2016,3.2,DEC,0
1/1/2017,2017,7.9,JAN,0
2/1/2017,2017,9.4,FEB,0
3/1/2017,2017,9.7,MAR,0
4/1/2017,2017,0,APR,0
5/1/2017,2017,0,MAY,0
6/1/2017,2017,0,JUN,0
7/1/2017,2017,0,JUL,0
8/1/2017,2017,0,AUG,0
9/1/2017,2017,0,SEP,0
10/1/2017,2017,0,OCT,0
11/1/2017,2017,,NOV,1
12/1/2017,2017,7.7,DEC,0
1/1/2018,2018,11.2,JAN,0
2/1/2018,2018,4.9,FEB,0
3/1/2018,2018,11.6,MAR,0
4/1/2018,2018,5.5,APR,0
5/1/2018,2018,0,MAY,0
6/1/2018,2018,0,JUN,0
7/1/2018,2018,0,JUL,0
8/1/2018,2018,0,AUG,0
9/1/2018,2018,0,SEP,0
10/1/2018,2018,0,OCT,0
11/1/2018,2018,6.4,NOV,0
12/1/2018,2018,,DEC,1
