Date,Year,Temp
1/1/2013,2013,35.1
2/1/2013,2013,33.9
3/1/2013,2013,40.1
4/1/2013,2013,53
5/1/2013,2013,62.8
6/1/2013,2013,72.7
7/1/2013,2013,79.8
8/1/2013,2013,74.6
9/1/2013,2013,67.9
10/1/2013,2013,60.2
11/1/2013,2013,45.3
12/1/2013,2013,38.5
1/1/2014,2014,28.6
2/1/2014,2014,31.6
3/1/2014,2014,37.7
4/1/2014,2014,52.3
5/1/2014,2014,64
6/1/2014,2014,72.5
7/1/2014,2014,76.1
8/1/2014,2014,74.5
9/1/2014,2014,69.7
10/1/2014,2014,59.6
11/1/2014,2014,45.3
12/1/2014,2014,40.6
1/1/2015,2015,29.9
2/1/2015,2015,23.9
3/1/2015,2015,38.1
4/1/2015,2015,55.3
5/1/2015,2015,68.5
6/1/2015,2015,71.2
7/1/2015,2015,78.8
8/1/2015,2015,79
9/1/2015,2015,74.5
10/1/2015,2015,58
11/1/2015,2015,52.8
12/1/2015,2015,50.8
1/1/2016,2016,34.5
2/1/2016,2016,37.7
3/1/2016,2016,48.9
4/1/2016,2016,53.3
5/1/2016,2016,62.8
6/1/2016,2016,72.3
7/1/2016,2016,78.7
8/1/2016,2016,79.2
9/1/2016,2016,71.8
10/1/2016,2016,58.8
11/1/2016,2016,49.8
12/1/2016,2016,38.3
1/1/2017,2017,38
2/1/2017,2017,41.6
3/1/2017,2017,39.2
4/1/2017,2017,57.2
5/1/2017,2017,61.1
6/1/2017,2017,72
7/1/2017,2017,76.8
8/1/2017,2017,74
9/1/2017,2017,70.5
10/1/2017,2017,64.1
11/1/2017,2017,46.6
12/1/2017,2017,33.4
1/1/2018,2018,31.7
2/1/2018,2018,42
3/1/2018,2018,40.1
4/1/2018,2018,49.5
5/1/2018,2018,66.9
6/1/2018,2018,71.7
7/1/2018,2018,77.6
8/1/2018,2018,78.1
9/1/2018,2018,70.7
10/1/2018,2018,57.7
11/1/2018,2018,44.4
12/1/2018,2018,40.1
